formula,PROPERTY: Nearest DFT Formation Energy (eV),PROPERTY: Tg (K),PROPERTY: Tl (K),PROPERTY: Tx (K),PROPERTY: Trg,PROPERTY: $\gamma$,PROPERTY: $\omega$
Nd60Fe30Al10,-5.272308383,591,958,,0.617,,
Mg65Cu15Ag10Y10,-2.856289631,428,694,469,0.616714697,0.418003565,0.141126709
Ca55Mg25Ag20,-2.245471158,408.1395,661.8945,432.3881,0.616623225,0.404088163,0.181066096
Ca63Al32Cu5,-2.627357434,512,831,523,0.61613,0.38943,0.216497077
Pd37.5Cu30Ni12.5P20,-4.91891836,572,929,647,0.61572,0.43105,0.12192
Mg65Cu15Ag10Y2Gd8,-2.102638078,420,683,464,0.61493,0.42067,0.143612132
Fe68Mo4Y6B22,-8.117519369,915,1488,944,0.6149,0.3928,0.207731777
Pd79Cu5AgSi10P5,-5.67867701,614,1001,684,0.61339,0.42353,0.13728909
Hf48Cu29.25Ni9.75Al13,-7.038156483,785,1280,874,0.6133,0.4232,0.137879686
Fe75Mo4P10C4B4Si3,-7.317944802,752,1227,799,0.613,0.40379,0.181103646
Dy46Al24Co18Fe2Y10,-5.207091855,627,1023,677,0.612903226,0.41030303,
Pd79Cu6Si10P5,-5.67867701,609,995,682,0.61206,0.42519,0.13360946
Pd48Ni32P20,-5.846384821,565,923,,0.612,,
Cu60Hf20Ti20,-6.349381083,740,1211,767,0.61107,0.39313,0.206211078
Ca50Mg25Cu25,-2.302321718,400,655,439,0.61069,0.41611,0.1528678
Fe69Mo3Y6B22,-8.117519369,908,1488,958,0.6102,0.3998,0.189879427
Ca50Mg20Zn5Cu25,-2.302321718,399,654,441,0.61009,0.4188,0.146927021
Fe72B14.4Si9.6Nb4,-8.42098939,835,1369,885,0.61,0.40157,0.185738962
La65Al14Cu9.2Ag1.8Ni5Co5,-4.803645328,419,687,,0.61,,
Pd79Cu4Ag2Si10P5,-5.67867701,613,1005,684,0.60995,0.42274,0.138473468
Pd40Cu32.5Ni7.5P20,-4.57287707,568,932,654,0.60944,0.436,0.11117
Mg65Cu7.5Ni7.5Ag5Zn5Gd7.5Y2.5,-2.856289631,438,719,474,0.60918,0.40968,0.166919828
Ca50Mg30Ag20,-2.245471158,418.6047,687.6397,438.7047,0.608755785,0.39657122,0.197380017
Co48Cr15Mo14C15B6Er2,-8.44686317,848,1394,933,0.60832,0.41615,0.15242973
Pd79Cu2Ag4Si10P5,-5.67867701,611,1006,676,0.60736,0.41806,0.148126204
Mg59.4Cu23Ag6.6Gd11,-2.386761387,425,700,,0.607,,
Pd79Cu3Ag3Si10P5,-5.67867701,610,1005,683,0.60697,0.42291,0.137701216
Fe69.84Nb3.88B19.4Si3.88Y3,-8.42098939,859,1416,915,0.60664,0.4022,0.183634494
Mg65Cu15Ag10Gd10,-2.102638078,416,686,459,0.60641,0.41652,0.151327139
Tb36Al24Co20Y20,-5.211167005,619,1021,868,0.606268364,0.529268293,0.18594699
Mg65Cu7.5Ni7.5Ag5Zn5Gd10,-2.413613199,440,726,477,0.60606,0.40909,0.167714885
Nb38Ni62,-7.850685605,892,1473,930,0.606,0.393,0.204805747
Pd82Si18,-5.844767106,648,1071,648,0.60504,0.37696,0.24607
Pr60Fe30Al10,-5.220171613,575,950.1,,0.605,,
Ca66.4Al33.6,-2.627357434,528,873,540,0.60481,0.38544,0.224029393
Mg65Cu7.5Ni7.5Ag5Zn5Gd5Y5,-2.856289631,434,718,472,0.60446,0.40972,0.166019192
Fe68.3C6.9Si2.5B6.7P8.8Cr2.2Mo2.5Al2.1,-8.126932951,795,1316,835,0.6041,0.39555,0.198898105
Fe70.56Nb3.92B19.6Si3.92Y2,-8.42098939,855,1416,903,0.60381,0.39762,0.193869836
Er50Al24Co20Y6,-5.224361513,651,1079,702,0.603336423,0.405780347,0.131787543
Ca50Mg22.5Cu27.5,-2.302321718,400,663,442,0.60332,0.4158,0.152390241
Fe56Co20Mo4P9C4B4Si3,-7.583582004,736,1220,778,0.6033,0.3978,0.193461018
Fe71.28Nb3.96B19.8Si3.96Y,-8.42098939,855,1419,881,0.60254,0.38742,0.218507593
Pd77.5Cu6Si16.5,-5.844767106,637,1058,686,0.60208,0.40472,0.17695
Ca60Mg20Ag20,-2.245471158,401,666.1158,441.1303,0.601997447,0.412,0.157469943
Fe70Mo2Y6B22,-8.117519369,907,1508,969,0.6015,0.4012,0.184877057
Gd60Co25Al15,-5.19721342,572,952,617,0.6008,0.4049,0.176410401
Fe74Mo5P10C4B4Si3,-7.317944802,758,1263,799,0.6,0.39528,0.198684707
Fe75Mo2Ga3P10C4B4Si2,-7.317944802,738,1230,798,0.6,0.40549,0.17481295
Fe76Mo3P10C4B4Si3,-7.317944802,750,1250,793,0.6,0.3965,0.195775172
Ho35Al24Co20Y21,-4.87078095,644,1074,696,0.599627561,0.405122235,0.166144756
Gd60Ni15Al25,-4.941882285,603,1006,648,0.5994,0.4027,0.181021686
Ni60Nb30Ta10,-8.319752113,934,1559,961,0.5991,0.38548,0.222608076
Cu60Hf40,-6.93117797,773,1290,827,0.599,0.401,0.185309662
Nd61Al11Ni8Co5Cu15,-4.453779605,445,744,,0.598,,
Fe76Mo4P9C4B4Si3,-7.317944802,744,1245,788,0.5976,0.3962,0.196047679
Fe74Nb6Y3B17,-8.42098939,831,1391,879,0.59741,0.39559,0.197417775
Al20Ca65Mg15,-2.627357434,463,776,491,0.596649485,0.396287328,0.195596607
Co43Fe20Ta5.5B31.5,-7.513587161,910,1526,982,0.59633,0.40312,0.179552555
Pd79.5Au4Si16.5,-5.844767106,620,1040,,0.596,,
Ca55Mg25Cu20,-2.302321718,398,668,428,0.59581,0.4015,0.183190445
Cu60Hf17.5Ti22.5,-6.349381083,732,1229,755,0.59561,0.38501,0.222980355
Ca65Mg15Zn20,-1.934044093,375,630,410,0.59524,0.40796,0.16837
Cu55Hf45,-6.93117797,771,1295,830,0.595,0.402,0.182545866
Fe71MoY6B22,-8.117519369,902,1517,960,0.5946,0.3969,0.193820987
Mg65Cu7.5Ni7.5Zn5Ag5Y10,-2.856289631,426,717,464,0.59414,0.40595,0.1727
Fe68Ni4Y6B22,-8.117519369,872,1470,907,0.5932,0.3873,0.216750477
Fe72Nb4B20Si4,-8.42098939,842,1420,880,0.59296,0.38904,0.212345784
Ca47.5Mg22.5Cu30,-2.302321718,399,673,440,0.59287,0.41045,0.162414124
Fe58Co14Y6B22,-7.424954873,880,1485,925,0.5926,0.3911,0.207163721
Fe56Co16Y6B22,-7.424954873,882,1494,927,0.5904,0.3902,0.2090301
Ce55Al25Cu20,-4.427513418,439,744.0678,479,0.59,0.404879586,0.174354328
Fe76Mo2Ga2P10C4B4Si2,-7.317944802,736,1247,788,0.59,0.39729,0.19187229
Y56Al24Co20,-6.154591723,636,1078,690,0.58998,0.40257,0.17961383
Ca45Mg25Cu30,-2.302321718,400,678,438,0.58997,0.40631,0.171127387
Pt42.5Cu27Ni59.5P21,-5.19693112,515,873,589,0.589919817,0.424351585,0.159647138
Fe67Ni5Y6B22,-8.117519369,866,1469,891,0.5895,0.3816,0.230186681
Ca60Mg17.5Zn22.5,-1.82594418,383,650,421,0.58923,0.40755,0.168208579
Mg65Cu7.5Ni7.5Ag5Zn5Gd2.5Y7.5,-2.856289631,433,735,473,0.58912,0.40497,0.173994745
Ni69Cr8.5Nb3P16.5B3,-5.760501881,668,1134,,0.589,,
Fe62Co10Y6B22,-7.887547953,885,1503,932,0.5888,0.3903,0.20836372
Fe60Co12Y6B22,-7.887547953,881,1498,924,0.5881,0.3884,0.212815765
Fe66Co6Y6B22,-8.117519369,887,1509,925,0.5878,0.3861,0.218517143
Al32Ca58Mg10,-2.810043724,513,873,539,0.587628866,0.388888889,0.211502783
Fe64Co8Y6B22,-7.887547953,884,1505,927,0.5874,0.388,0.213556571
Fe77Mo2P10C4B4Si3,-7.317944802,742,1264,783,0.587,0.39032,0.207878599
Fe36Co36B19.2Si4.8Nb4,-7.513587161,820,1397,870,0.58697,0.39242,0.202790396
Ca40Mg25Cu35,-2.302321718,399,680,436,0.58676,0.40408,0.17556488
Fe43.2Co28.8B19.2Si4.8Nb4,-7.424954873,825,1407,875,0.58635,0.39203,0.203607933
Ca65Mg25Cu10,-1.887705263,405,691,429,0.58611,0.39142,0.205006253
Fe79P10C4B4Si3,-7.317944802,740,1263,774,0.586,0.38646,0.21710812
Ni69Cr8.5Nb3P18B1.5,-5.760501881,664,1134,,0.586,,
Fe50.4Co21.6B19.2Si4.8Nb4,-7.424954873,828,1413,878,0.58599,0.39179,0.204098294
Ca62.5Mg17.5Zn20,-1.82594418,375,640,412,0.58594,0.40591,0.171276869
Fe71NiY6B22,-8.117519369,883,1507,926,0.5859,0.3875,0.214652156
Fe78MoP10C4B4Si3,-7.317944802,742,1268,780,0.585,0.38799,0.213110562
Fe80P13C7,-7.317944802,736,1258,,0.585,,
La62.5Al12.5Cu10Ni5Co5Ag5,-4.803645328,404,691,,0.585,,
Pd79.5Cu4Si16.5,-5.844767106,635,1086,678,0.58471,0.39396,0.19864
Ca65Mg15Ag20,-2.21160367,388.3721,664.5798,424.051,0.584387467,0.402725922,0.17817921
Fe48Cr15Mo14Er2C15B6,-9.043913353,844,1446,880,0.58368,0.38428,0.221970655
Fe41Co7Cr15Mo14C15B6Y2,-9.043913353,838,1436,875,0.58357,0.38478,0.22068722
Fe70Ni2Y6B22,-8.117519369,880,1509,925,0.5832,0.3872,0.214642941
Ca60Mg15Zn25,-1.82594418,379,650,427,0.58308,0.41497,0.150950232
Ni75Si8B17,-5.993566985,818,1419,,0.583,,
Ca50Mg15Zn10Cu25,-2.302321718,395,678,434,0.5826,0.40447,0.173885827
Mg65Cu15Ag10Er10,-2.102638078,427,733,465,0.58254,0.40086,0.182073084
Al30Ca60Mg10,-2.810043724,508,873,523,0.581901489,0.378711079,0.235620543
Ca58Mg18Cu24,-2.302321718,388,667,426,0.58171,0.40379,0.175254118
Fe69Ni3Y6B22,-8.117519369,874,1503,910,0.5815,0.3828,0.225057952
Ca47Mg19Zn7Cu27,-2.302321718,393,676,440,0.58136,0.4116,0.157915515
Ca50Mg20Cu30,-2.302321718,401,690,442,0.58116,0.40513,0.172134816
Ni69Cr8.5Nb3P19.5,-5.854218816,660,1136,,0.581,,
Fe57.6Co14.4B19.2Si4.8Nb4,-7.424954873,830,1431,880,0.58001,0.38921,0.208995151
Co43.2Fe28.8B19.2Si4.8Nb4,-7.513587161,823,1418,865,0.58,0.38599,0.216952683
Fe73Mo4Ga3P10C4B4Si2,-7.317944802,744,1283,801,0.58,0.39521,0.194662358
Fe74Mo4Ga2P10C4B4Si2,-7.317944802,740,1276,790,0.58,0.39189,0.202531646
Ca55Mg18Zn27,-1.82594418,389,671,419,0.57973,0.39528,0.194439043
Fe43Co5Cr15Mo14C15B6Y2,-9.043913353,835,1442,872,0.57906,0.38296,0.224149911
Pd83Si17,-5.844767106,632,1092,645,0.579,0.374,0.246666307
Hf51Cu27.75Ni9.25Al12,-7.038156483,777,1344,872,0.5781,0.4111,0.158380716
Co50Cr15Mo14C15B6,-8.44686317,819,1417,895,0.57798,0.40027,0.182525052
Pd81.5Cu2Si6.5,-5.17671826,633,1097,670,0.57703,0.38728,0.212983472
Pd81.5Cu2Si16.5,-5.844767106,633,1097.3,,0.577,,
Ca60Mg25Cu15,-2.302321718,390,676,416,0.57692,0.39024,0.205790958
Fe45Co3Cr15Mo14C15B6Y2,-9.043913353,834,1446,880,0.57676,0.38596,0.216146115
Ca60Mg15Cu25,-2.302321718,396,687,428,0.57642,0.3952,0.193929991
Fe79Si10B11,-8.144105856,818,1419,,0.576,,
Gd36Al24Co20Y20,-5.19721342,603,1048,658,0.575381679,0.398546336,0.149656606
La32Ce32Al16Ni5Cu10Co5,-4.064940067,413,718,467,0.57521,0.41291,0.154040482
Mg65Cu15Ag5Pd5Gd10,-2.102638078,430,748,472,0.57487,0.40068,0.180965996
Pt60Cu16Co2P22,-6.259584459,506,881,569,0.574347333,0.410237924,0.106174229
Fe48Cr15Mo14C15B6Y2,-9.043913353,839,1464,886,0.57309,0.38472,0.218335844
Co50.4Fe21.6B19.2Si4.8Nb4,-7.513587161,820,1430,860,0.573,0.38222,0.22459797
Pd84Si16,-5.844767106,635,1108,640,0.573,0.367,0.263558699
Ca60Mg20Zn20,-1.82594418,378,660,415,0.57273,0.39981,0.182518389
La32Ce32Al16Ni5Cu12Co3,-4.064940067,406,709,455,0.57264,0.40807,0.164055451
Mg61Cu28Gd11,-2.386761387,422,737,483,0.57259,0.41674,0.145492638
Ca65Mg10Zn25,-1.934044093,377,659,412,0.57208,0.39768,0.187248385
Ti53Cu15Ni18.5Al7Si3Sc3B0.5,-6.372326558,709,1240,767,0.57177,0.39354,0.196827146
Fe39Co9Cr15Mo14C15B6Y2,-9.043913353,838,1466,888,0.57162,0.38542,0.216262976
Mg65Cu25Gd10,-2.386761387,423,740,484,0.57162,0.41617,0.14654
Pd64Ni16P20,-5.9031007,582,983,,0.571,,
Mg62.5Cu26.5Gd11,-2.386761387,427,748,483,0.57086,0.41106,0.157250012
Ca60Mg20Cu20,-2.302321718,387,678,412,0.5708,0.38685,0.212557922
Ca60Mg10Zn30,-1.915500342,380,666,400,0.57057,0.38241,0.223423745
Mg65Ni20Nd15,-2.616732385,459,805,501,0.57019,0.39636,0.1899
Ti50Ni15Cu25Sn3Be7,-6.372326558,688,1207,733,0.57001,0.38681,0.212485657
Fe73.5B14.7Si9.8Nb2,-8.144105856,812,1425,870,0.57,0.38899,0.207219528
Fe74.5Mo5.5P12.5C5B2.5,-7.317944802,695,1219,,0.57,,
Fe64.8Co7.2B19.2Si4.8Nb4,-8.42098939,832,1460,877,0.56986,0.38264,0.222687391
Mg75Ni15Nd10,-2.263728027,450,790,470,0.56962,0.37903,0.23164
Ca40Mg30Cu30,-2.302321718,395,694,430,0.56916,0.39486,0.193169526
Pd77Cu6Si17,-5.844767106,642,1128,686,0.56915,0.38757,0.21044
Ca65Mg20Zn15,-1.875964028,380,668,405,0.56886,0.38645,0.213078775
La62Cu12Ni12Al14,-4.916737545,423,744,452,0.56855,0.38732,0.210903722
Mg65Cu25Nd10,-2.386761387,423,744,456,0.56855,0.39075,0.202695855
Ca65Mg20Cu15,-1.875964028,386,679,405,0.56848,0.38028,0.228206298
Mg65Cu25Tb9Y,-2.542384796,416,732,489,0.568306011,0.425958188,0.12297366
Mg65Cu25Tb8Y2,-2.386761387,417,734,492,0.568119891,0.427454387,0.130236794
Pd73.5Cu10Si16.5,-5.909161811,645,1136,685,0.56778,0.38462,0.217292106
La62.5Al12.5Ag5Cu15Co5,-4.506443293,397,700,474,0.5671,0.4321,0.113760466
Mg58.5Cu30.5Gd11,-2.386761387,427,753,490,0.56707,0.41525,0.147699579
Ca65Ga35,-2.760184506,562,991,,0.567,,
Fe68Mo5Ni5Cr2P12.5C5B2.5,-7.317944802,688,1213,,0.567,,
Fe72B19.2Si4.8Nb4,-8.42098939,835,1475,880,0.5661,0.38095,0.225922328
Fe56Mn5Cr7Mo12Er2C12B6,-8.643151418,793,1401,832,0.56602,0.37922,0.230244981
La32Ce32Al16Ni5Cu15,-4.064940067,403,712,451,0.56601,0.40448,0.170700898
Ca65Zn35,-1.915500342,389,687,407,0.566,0.378,0.232725629
La55Al25Ni5Cu10Co5,-4.537873438,465.2,822.5,541.8,0.56559,0.42075,0.13609
Mg65Cu25Tb7Y3,-2.386761387,416,736,488,0.565217391,0.423611111,
Ti53Cu15Ni18.5Al7Si3Hf3B0.5,-6.372326558,695,1230,749,0.56504,0.38909,0.205824843
Pd71.5Cu12Si16.5,-5.909161811,652,1154,680,0.56499,0.37652,0.23678727
Mg65Cu25Tb10,-2.542384796,414,733,487,0.564802183,0.424585876,0.12597707
Ce60Al20Cu20,-4.427513418,396,702.1277,444,0.564,0.404324576,0.17066427
Fe41.9Co27.9B18.6Si4.7Nb3.9Cr3,-9.091911303,831,1474,874,0.5638,0.3792,0.229758294
Fe65.5Cr4Mo4Ga4P12C5B5.5,-7.946700781,745,1322,806,0.5635,0.3899,0.203467079
Co57.6Fe14.4B19.2Si4.8Nb4,-7.513587161,813,1445,853,0.563,0.37777,0.23300247
Ni69Cr8.5Nb3P15.5B4,-5.760501881,668,1187,,0.563,,
La32Ce32Al16Ni5Cu7Co8,-4.064940067,416,739,471,0.56292,0.40779,0.162879713
Mg60.5Cu28.5Gd11,-2.386761387,425,755,485,0.56291,0.41102,0.155950283
Ca50Mg10Zn15Cu25,-2.37281449,395,702,427,0.56268,0.38924,0.204913834
Mg65Cu25Dy10,-2.386761387,422,750,492,0.56267,0.4198,0.13758754
Ca55Mg15Cu30,-2.302321718,397,706,437,0.56232,0.39619,0.18861163
Ca60Mg13Cu27,-2.302321718,394,701,426,0.56205,0.38904,0.20524609
Pd81Si19,-5.844767106,634,1128,695,0.562,0.394,0.192593439
Ca65Mg15Cu20,-2.237603128,383,682,409,0.56158,0.38404,0.217183564
Cu47Ti33Nb11Ni8Si,-6.23524658,710,1265,732,0.56126,0.37063,0.250959922
Ga18Sr82,-2.020508303,445,793,,0.561,,
Ca70Mg10Ag20,-2.21160367,377.907,673.9274,418.8147,0.560753232,0.398175517,0.183757552
Fe58Cr5Mo14Er2C15B6,-8.643151418,793,1416,829,0.56003,0.37528,0.238600845
Fe74.25B14.85Si9.9Nb,-8.144105856,815,1455,858,0.56,0.37791,0.231932461
La55Al25Ni10Cu10,-5.108009551,467.4,835,547.2,0.55976,0.42015,0.13641
Ca45Mg30Cu25,-2.302321718,401,717,436,0.55927,0.38998,0.202371797
Mg64.5Cu24.5Gd11,-2.386761387,413,739,472,0.55886,0.40972,0.157985371
Ca45Mg19Cu36,-5.136671893,399,714,428,0.55882,0.38455,0.215262082
Ca70Mg10Zn20,-1.934044093,367,657,399,0.5586,0.38965,0.203004466
Mg30Sr70,-1.671003602,390,699,,0.558,,
Ti65Be18Cu9Ni8,-6.772801443,635,1136,670,0.558,0.378,0.230652216
Ca60Al30Ag10,-2.627357434,483,868,531,0.55645,0.39304,0.194579028
Ca55Mg15Zn30,-1.82594418,387,696,419,0.55603,0.38689,0.208947115
Al30Sr70,-2.129672648,530,953,,0.556,,
La62Al14Cu22Ag2,-4.537873438,401,722,455,0.5554,0.40516,0.167159788
Mg65Cu25Ho10,-2.386761387,417,751,473,0.55526,0.40497,0.167565937
Fe63C15Mo14Er2B6,-8.643151418,771,1389,830,0.55508,0.38426,0.215026018
La62Al14Cu19Ag5,-4.537873438,405,730,456,0.55479,0.40176,0.174501797
Mg65.5Cu25.4Gd9,-2.386761387,411,741,457,0.55466,0.3967,0.185801081
Ti50Ni24Cu20BSi2Sn3,-6.372326558,726,1310,800,0.5542,0.39293,0.194337019
La62Al14Cu20Ag4,-4.537873438,404,729,456,0.55418,0.40247,0.172813051
Ca55Mg20Cu25,-2.302321718,399,720,426,0.55417,0.3807,0.223483663
Mg58.5Cu30.5Y11,-2.386761387,422,762,496,0.55381,0.41892,0.137969095
Mg63Cu27Gd10,-2.386761387,418,755,481,0.55364,0.41006,0.156320833
Mg70Ni15Nd15,-2.616732385,467,844,489,0.55332,0.373,0.24258
Ni43.2Fe28.8B19.2Si4.8Nb4,-6.34711295,745,1348,795,0.553,0.37984,0.225210008
Ni50.4Fe21.6B19.2Si4.8Nb4,-6.34711295,750,1356,795,0.553,0.37749,0.231144396
La32Ce32Al16Ni5Cu5Co10,-4.064940067,424,767,472,0.5528,0.39631,0.186299532
La62.5Al12.5Ag5Cu17.5Co2.5,-4.506443293,393,712,473,0.552,0.4281,0.119554302
Nd60Al15Ni10Cu10Fe5,-4.905739093,430,779,,0.552,,
La62Al14Cu18Ag6,-4.537873438,406,736,457,0.55163,0.40018,0.177367861
Mg61.5Cu29.5Gd9,-2.386761387,433,785,472,0.55159,0.38752,0.206372792
Mg59Cu31Gd10,-2.386761387,424,769,482,0.55137,0.40402,0.168856168
Mg61Cu29Gd10,-2.386761387,420,762,480,0.55118,0.40609,0.164341238
Co64.8Fe7.2B19.2Si4.8Nb4,-7.35055566,803,1457,843,0.551,0.37301,0.241931582
Mg65Cu25Er10,-2.386761387,422,766,480,0.55091,0.40404,0.16872796
Mg57Cu31.5Y9.2Nd2.3,-2.386761387,428,777,502,0.55084,0.4166,0.142217166
Ni69Cr8.5Nb3P14.5B5,-5.760501881,668,1214,,0.55,,
Ca50Mg30Cu20,-2.302321718,402,731,439,0.54993,0.38747,0.206096329
La62.5Al12.5Ag5Cu17.5Fe2.5,-4.506443293,391,711,464,0.5499,0.4211,0.133053035
Mg63.5Cu27.5Gd9,-2.386761387,425,773,469,0.54981,0.39149,0.196668437
La62Al14Cu17Ag7,-4.537873438,406,739,458,0.54939,0.4,0.177292391
Mg57Cu31Y6.6Nd5.4,-2.386761387,427,778,491,0.54884,0.40747,0.160939889
Al35La50Ni15,-5.108009551,532,971,596,0.548,0.397,0.185
Mg57Cu31.5Y8Nd3.5,-2.386761387,426,778,501,0.54756,0.41611,0.142657422
La62Al14Cu16Ag8,-4.537873438,407,744,458,0.54704,0.39791,0.181435518
Mg65Cu25Gd5Y5,-2.386761387,413,755,486,0.54702,0.4161,0.142602496
La62.5Al12.5Ag5Cu15Fe5,-4.506443293,390,713,445,0.547,0.4035,0.169241965
Ni57.6Fe14.4B19.2Si4.8Nb4,-6.34711295,755,1381,795,0.547,0.37219,0.242753799
Ti50Cu42.5Ni7.5,-6.009246153,670,1226,708,0.54649,0.37342,0.239578342
La62Al14Cu24,-4.537873438,401,734,449,0.54632,0.39559,0.186487142
Ca65Mg10Cu25,-2.67684145,388,711,420,0.54571,0.38217,0.217713141
Ca55Mg20Zn25,-1.82594418,383,702,428,0.54558,0.39447,0.188868113
La62.5Al12.5Cu15Ni5Ag5,-4.506443293,391,717,,0.545,,
Al15Ca70Mg15,-2.472660443,420,771,460,0.544747082,0.386230059,0.207753806
Fe74Si3.5C12.7Tm0.6P9.1,-8.174795524,717,1318,767,0.544,0.3769,0.2301443
Mg65Cu25Y10,-2.856289631,413,760,473,0.54342,0.40324,0.16897
Pr68Cu25Al7,-4.359506208,382,705,402,0.54184,0.36983,0.247396155
Ni64.8Fe7.2B19.2Si4.8Nb4,-6.234905919,762,1408,795,0.541,0.36636,0.256186914
Pd16Ni64P20,-5.662555044,567,1048,,0.541,,
La66Al14Cu20,-4.506443293,395,731,449,0.54036,0.39876,0.17813
Ni69Cr8.5Nb3P13.5B6,-5.760501881,671,1243,,0.54,,
Ca70Mg10Cu20,-2.237603128,385,713,407,0.53997,0.37067,0.244672262
La62.5Al12.5Ag5Cu20,-4.506443293,389,721,472,0.5395,0.4252,0.123251371
Ca70Mg15Zn15,-1.934044093,371,688,397,0.53924,0.37488,0.233847017
Pd80Si20,-5.844767106,655,1220,667,0.537,0.356,0.283342329
Fe75.3Si3.5C12.9Tm.6P7.6,-7.977049076,687,1284,752,0.5351,0.3815,0.216454902
Ti50Ni30Cu32Sn3,-6.372326558,686,1283,759,0.53468,0.38547,0.207022193
Mg65Cu20Ni5Gd10,-2.102638078,420,786,481,0.534351145,0.398839138,
Ni72B19.2Si4.8Nb4,-6.111319596,770,1446,795,0.533,0.35875,0.273605297
Ca65Mg5Cu30,-2.67684145,403,757,424,0.53236,0.36552,0.255643326
Au55Cu25Si20,-3.842219455,348,654,383,0.532110092,0.382235529,
Ce60Al20Co20,-5.084310015,424,798.4934,468,0.531,0.38282415,0.212318634
La65Al10Ag5Cu20,-4.506443293,380,716,458,0.5307,0.4179,0.136263916
Ti50Ni15Cu32Sn3,-6.372326558,686,1283,,0.53,,
Ca50Mg25Zn15Cu10,-1.82594418,383,723,430,0.52974,0.38879,0.19811003
La55Al15Ag10Cu20,-4.537873438,416,787,483,0.5286,0.4015,0.169678459
Ca55Mg11Zn11Cu23,-2.37281449,379,717,430,0.52859,0.39234,0.189789334
La60Al15Ag5Cu20,-4.537873438,401,759,481,0.5283,0.4147,0.142300139
Al18Sr82,-2.129672648,455,863,,0.527,,
Mg65Cu25Pr10,-2.386761387,413,784,446,0.52679,0.3726,0.235949224
