formula,PROPERTY: Nearest DFT Formation Energy (eV),PROPERTY: Tg (K),PROPERTY: Tl (K),PROPERTY: Tx (K),PROPERTY: Trg,PROPERTY: $\gamma$,PROPERTY: $\omega$
Pd79.5Au4Si16.5,-5.844767106,620,1040,,0.596,,
Ca65Mg15Zn20,-1.934044093,375,630,410,0.59524,0.40796,0.16837
Ni60Zr20Ti7.5Nb7.5Al5,-6.969466633,824,1385,885,0.595,0.4006,0.185034416
Fe71MoY6B22,-8.117519369,902,1517,960,0.5946,0.3969,0.193820987
Fe68Ni4Y6B22,-8.117519369,872,1470,907,0.5932,0.3873,0.216750477
Fe72Nb4B20Si4,-8.42098939,842,1420,880,0.59296,0.38904,0.212345784
Fe58Co14Y6B22,-7.424954873,880,1485,925,0.5926,0.3911,0.207163721
Fe56Co16Y6B22,-7.424954873,882,1494,927,0.5904,0.3902,0.2090301
Al23.5Co23.5Zr53,-7.181339475,783,1320,849,0.59,0.403708987,0.177610985
Fe74.25B14.85Si9.9Zr,-8.144105856,867,1469,919,0.59,0.39332,0.201280142
Fe76Mo2Ga2P10C4B4Si2,-7.317944802,736,1247,788,0.59,0.39729,0.19187229
Y56Al24Co20,-6.154591723,636,1078,690,0.58998,0.40257,0.17961383
Fe67Ni5Y6B22,-8.117519369,866,1469,891,0.5895,0.3816,0.230186681
Ca60Mg17.5Zn22.5,-1.82594418,383,650,421,0.58923,0.40755,0.168208579
Ni69Cr8.5Nb3P16.5B3,-5.760501881,668,1134,,0.589,,
Fe62Co10Y6B22,-7.887547953,885,1503,932,0.5888,0.3903,0.20836372
Fe27Co40Zr3Ti3Mo1.5Si1.5B24,-7.513587161,811,1379,856,0.5881,0.3909,0.206791017
Fe60Co12Y6B22,-7.887547953,881,1498,924,0.5881,0.3884,0.212815765
Fe66Co6Y6B22,-8.117519369,887,1509,925,0.5878,0.3861,0.218517143
Al32Ca58Mg10,-2.810043724,513,873,539,0.587628866,0.388888889,0.211502783
Fe64Co8Y6B22,-7.887547953,884,1505,927,0.5874,0.388,0.213556571
Fe77Mo2P10C4B4Si3,-7.317944802,742,1264,783,0.587,0.39032,0.207878599
Fe36Co36B19.2Si4.8Nb4,-7.513587161,820,1397,870,0.58697,0.39242,0.202790396
Fe43.2Co28.8B19.2Si4.8Nb4,-7.424954873,825,1407,875,0.58635,0.39203,0.203607933
Fe79P10C4B4Si3,-7.317944802,740,1263,774,0.586,0.38646,0.21710812
Ni69Cr8.5Nb3P18B1.5,-5.760501881,664,1134,,0.586,,
Fe50.4Co21.6B19.2Si4.8Nb4,-7.424954873,828,1413,878,0.58599,0.39179,0.204098294
Ca62.5Mg17.5Zn20,-1.82594418,375,640,412,0.58594,0.40591,0.171276869
Fe71NiY6B22,-8.117519369,883,1507,926,0.5859,0.3875,0.214652156
Fe78MoP10C4B4Si3,-7.317944802,742,1268,780,0.585,0.38799,0.213110562
Fe80P13C7,-7.317944802,736,1258,,0.585,,
Ca65Mg15Ag20,-2.21160367,388.3721,664.5798,424.051,0.584387467,0.402725922,0.17817921
Al22Co24Zr54,-7.181339475,768,1316,843,0.584,0.404510557,0.173987883
Fe48Cr15Mo14Er2C15B6,-9.043913353,844,1446,880,0.58368,0.38428,0.221970655
Fe41Co7Cr15Mo14C15B6Y2,-9.043913353,838,1436,875,0.58357,0.38478,0.22068722
Fe70Ni2Y6B22,-8.117519369,880,1509,925,0.5832,0.3872,0.214642941
Ca60Mg15Zn25,-1.82594418,379,650,427,0.58308,0.41497,0.150950232
Mg65Zr35,-3.83618864,359,616,379,0.583,0.389,0.210819295
Ni75Si8B17,-5.993566985,818,1419,,0.583,,
Al30Ca60Mg10,-2.810043724,508,873,523,0.581901489,0.378711079,0.235620543
Fe69Ni3Y6B22,-8.117519369,874,1503,910,0.5815,0.3828,0.225057952
Ni69Cr8.5Nb3P19.5,-5.854218816,660,1136,,0.581,,
Fe57.6Co14.4B19.2Si4.8Nb4,-7.424954873,830,1431,880,0.58001,0.38921,0.208995151
Co43.2Fe28.8B19.2Si4.8Nb4,-7.513587161,823,1418,865,0.58,0.38599,0.216952683
Fe73Mo4Ga3P10C4B4Si2,-7.317944802,744,1283,801,0.58,0.39521,0.194662358
Fe74Mo4Ga2P10C4B4Si2,-7.317944802,740,1276,790,0.58,0.39189,0.202531646
Ca55Mg18Zn27,-1.82594418,389,671,419,0.57973,0.39528,0.194439043
Fe43Co5Cr15Mo14C15B6Y2,-9.043913353,835,1442,872,0.57906,0.38296,0.224149911
Pd83Si17,-5.844767106,632,1092,645,0.579,0.374,0.246666307
Al22.3Co22.3Zr55.4,-7.181339475,767,1326,815,0.578,0.389393215,0.20818504
Co50Cr15Mo14C15B6,-8.44686317,819,1417,895,0.57798,0.40027,0.182525052
Al19.4Co24.8Zr55.8,-7.181339475,751,1302,820,0.577,0.39941549,0.184241384
Fe45Co3Cr15Mo14C15B6Y2,-9.043913353,834,1446,880,0.57676,0.38596,0.216146115
Fe79Si10B11,-8.144105856,818,1419,,0.576,,
Gd36Al24Co20Y20,-5.19721342,603,1048,658,0.575381679,0.398546336,0.149656606
Al21.2Co21.2Zr57.6,-7.181339475,761,1324,794,0.574,0.380815348,0.228462268
Fe48Cr15Mo14C15B6Y2,-9.043913353,839,1464,886,0.57309,0.38472,0.218335844
Al13.3Co26.7Zr60,-7.181339475,718,1254,757,0.573,0.383874239,0.220286119
Co50.4Fe21.6B19.2Si4.8Nb4,-7.513587161,820,1430,860,0.573,0.38222,0.22459797
Pd84Si16,-5.844767106,635,1108,640,0.573,0.367,0.263558699
Ca60Mg20Zn20,-1.82594418,378,660,415,0.57273,0.39981,0.182518389
Ca65Mg10Zn25,-1.934044093,377,659,412,0.57208,0.39768,0.187248385
Al16.9Co25.6Zr57.5,-7.181339475,744,1300,786,0.572,0.384540117,0.218580541
Fe39Co9Cr15Mo14C15B6Y2,-9.043913353,838,1466,888,0.57162,0.38542,0.216262976
Pd64Ni16P20,-5.9031007,582,983,,0.571,,
Ca60Mg10Zn30,-1.915500342,380,666,400,0.57057,0.38241,0.223423745
Mg65Ni20Nd15,-2.616732385,459,805,501,0.57019,0.39636,0.1899
Fe73.5B14.7Si9.8Nb2,-8.144105856,812,1425,870,0.57,0.38899,0.207219528
Fe74.5Mo5.5P12.5C5B2.5,-7.317944802,695,1219,,0.57,,
Fe64.8Co7.2B19.2Si4.8Nb4,-8.42098939,832,1460,877,0.56986,0.38264,0.222687391
Mg75Ni15Nd10,-2.263728027,450,790,470,0.56962,0.37903,0.23164
Ca65Mg20Zn15,-1.875964028,380,668,405,0.56886,0.38645,0.213078775
Ca65Ga35,-2.760184506,562,991,,0.567,,
Fe68Mo5Ni5Cr2P12.5C5B2.5,-7.317944802,688,1213,,0.567,,
Fe72B19.2Si4.8Nb4,-8.42098939,835,1475,880,0.5661,0.38095,0.225922328
Fe56Mn5Cr7Mo12Er2C12B6,-8.643151418,793,1401,832,0.56602,0.37922,0.230244981
Ca65Zn35,-1.915500342,389,687,407,0.566,0.378,0.232725629
Al15.4Co26Zr58.6,-7.181339475,724,1282,773,0.565,0.385343968,0.214776112
Fe41.9Co27.9B18.6Si4.7Nb3.9Cr3,-9.091911303,831,1474,874,0.5638,0.3792,0.229758294
Fe65.5Cr4Mo4Ga4P12C5B5.5,-7.946700781,745,1322,806,0.5635,0.3899,0.203467079
Co57.6Fe14.4B19.2Si4.8Nb4,-7.513587161,813,1445,853,0.563,0.37777,0.23300247
Ni69Cr8.5Nb3P15.5B4,-5.760501881,668,1187,,0.563,,
Pd81Si19,-5.844767106,634,1128,695,0.562,0.394,0.192593439
Ga18Sr82,-2.020508303,445,793,,0.561,,
Ca70Mg10Ag20,-2.21160367,377.907,673.9274,418.8147,0.560753232,0.398175517,0.183757552
Fe58Cr5Mo14Er2C15B6,-8.643151418,793,1416,829,0.56003,0.37528,0.238600845
Fe74.25B14.85Si9.9Nb,-8.144105856,815,1455,858,0.56,0.37791,0.231932461
Ca70Mg10Zn20,-1.934044093,367,657,399,0.5586,0.38965,0.203004466
Mg30Sr70,-1.671003602,390,699,,0.558,,
Ca60Al30Ag10,-2.627357434,483,868,531,0.55645,0.39304,0.194579028
Ca55Mg15Zn30,-1.82594418,387,696,419,0.55603,0.38689,0.208947115
Al30Sr70,-2.129672648,530,953,,0.556,,
Fe63C15Mo14Er2B6,-8.643151418,771,1389,830,0.55508,0.38426,0.215026018
Mg70Ni15Nd15,-2.616732385,467,844,489,0.55332,0.373,0.24258
Ni43.2Fe28.8B19.2Si4.8Nb4,-6.34711295,745,1348,795,0.553,0.37984,0.225210008
Ni50.4Fe21.6B19.2Si4.8Nb4,-6.34711295,750,1356,795,0.553,0.37749,0.231144396
Co64.8Fe7.2B19.2Si4.8Nb4,-7.35055566,803,1457,843,0.551,0.37301,0.241931582
Ni69Cr8.5Nb3P14.5B5,-5.760501881,668,1214,,0.55,,
Al35La50Ni15,-5.108009551,532,971,596,0.548,0.397,0.185
Ni57.6Fe14.4B19.2Si4.8Nb4,-6.34711295,755,1381,795,0.547,0.37219,0.242753799
Ca55Mg20Zn25,-1.82594418,383,702,428,0.54558,0.39447,0.188868113
Al15Ca70Mg15,-2.472660443,420,771,460,0.544747082,0.386230059,0.207753806
Fe74Si3.5C12.7Tm0.6P9.1,-8.174795524,717,1318,767,0.544,0.3769,0.2301443
Ni64.8Fe7.2B19.2Si4.8Nb4,-6.234905919,762,1408,795,0.541,0.36636,0.256186914
Pd16Ni64P20,-5.662555044,567,1048,,0.541,,
Ni69Cr8.5Nb3P13.5B6,-5.760501881,671,1243,,0.54,,
Ca70Mg15Zn15,-1.934044093,371,688,397,0.53924,0.37488,0.233847017
Zr66Al8Ni26,-7.878340858,672,1251,707.6,0.53717,0.36797,0.25078
Pd80Si20,-5.844767106,655,1220,667,0.537,0.356,0.283342329
Fe75.3Si3.5C12.9Tm.6P7.6,-7.977049076,687,1284,752,0.5351,0.3815,0.216454902
Ni37Zr63,-7.878340858,700,1313,720,0.533,0.358,0.276742838
Ni72B19.2Si4.8Nb4,-6.111319596,770,1446,795,0.533,0.35875,0.273605297
Ce60Al20Co20,-5.084310015,424,798.4934,468,0.531,0.38282415,0.212318634
Al18Sr82,-2.129672648,455,863,,0.527,,
La55Al25Ni20,-5.108009551,491,941,555,0.52179,0.38757,0.19893
Mg80Ni10Nd10,-2.263728027,454,878,471,0.51708,0.3536,0.28222
Ag35Ca65,-2.5935503,447,868,437,0.515,0.332,0.343035386
Sr75Zn25,-1.462754588,380,738,,0.515,,
Ca65Mg25Zn10,-1.887705263,387,759,405,0.50988,0.3534,0.28015913
Au35Ca65,-3.159280611,567,1116,,0.508,,
Mg35Sr65,-1.671003602,383,756,,0.507,,
Ca60Mg25Zn15,-1.82594418,377,744,409,0.50672,0.36485,0.249146673
Pd30Zr70,-7.911698737,680,1343,690,0.506,0.341,0.313238339
Ni40Zr60,-7.47341759,713,1413,735,0.505,0.346,0.299324848
Zr65Be35,-6.947110564,623,1238,623,0.50323,0.33477,0.33047
Ca55Mg25Zn20,-1.82594418,375,751,418,0.49933,0.37123,0.231053604
Ti63Be37,-6.471535437,673,1353,673,0.49741,0.33218,0.33564
Be32.5Zr67.5,-6.947110564,614,1238,,0.496,,
Al35Sr65,-2.129672648,490,993,,0.493,,
Al40La45Ni15,-5.108009551,540,1097,600,0.492,0.367,0.24
Ni28Zr72,-7.813158278,642,1313,664,0.489,0.34,0.310089976
Pd75Si25,-5.844767106,656,1343,656,0.48846,0.32816,0.34367
Mg77Ni18Nd5,-2.263728027,429,887,437,0.48365,0.33207,0.32972
Al85Co5Y10,-4.548023915,591.36,1232,587,0.48,0.321933134,0.358778949
Au77Si9.4Ge13.6,-3.555747098,293,625,,0.469,,
Y60Fe30Al10,-6.298081825,572,1225.4,,0.467,,
Au77.8Si8.4Ge13.8,-3.555747098,293,629,293,0.46582,0.31779,0.36443
Be40Zr60,-6.479342156,623,1343,673,0.464,0.342,0.291931634
Mg90Ni5Nd5,-1.83504342,426,919,449,0.46355,0.33383,0.31532
Be45Zr55,-6.479342156,646,1413,681,0.457,0.331,0.32111592
Be50Zr50,-6.250971665,672,1473,682,0.456,0.318,0.358763817
Al86.5Co4.5Y9,-4.548023915,543,1231,563,0.44,0.317361894,0.352300148
Be30Zr70,-6.947110564,613,1393,648,0.44,0.323,0.334821154
Al88Co4Y8,-4.548023915,511.27,1189,507,0.43,0.298187935,0.407023489
Al85Ni5Y10,-3.993672355,537,1249,560,0.42,0.314,0.358
Ca65Mg35,-1.887705263,411,987,414,0.417,0.296,0.404770791
Al86.5Ni4.5Y9,-4.548023915,505,1222,526,0.41,0.305,0.375
Al88Ni4Y8,-4.548023915,464,1189,465,0.39,0.281,0.436
Al89.5Co3.5Y7,-4.548023915,463.32,1188,460,0.39,0.278565027,0.446066312
Pd95Si5,-5.17671826,647,1688,647,0.38329,0.27709,0.44582
Al89.5Ni3.5Y7,-4.548023915,424,1146,428,0.37,0.273,0.451
Fe91B9,-8.24384882,600,1628,600,0.36855,0.2693,0.4614
Al25Au20La55,-4.71602974,531,,577,,,
Al28.5Ca56.5Mg15,-2.810043724,503,,528,,,
Ca63Al32Ag5,-2.627357434,503,,527,,,
